time,open,high,low,close,成交量中心线,通道上轨,通道下轨,多头订单块反应信号,空头订单块反应信号,多头趋势线 Pin Bar,空头趋势线 Pin Bar,多头趋势转换,空头趋势转换,需求强度 %,供给强度 %,成交量压力 %,趋势 Delta %,趋势力度 %,趋势状态,通道位置,合并成交量,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1785723840.001,19.3,19.3,19.28,19.28,19.188059433284256,,,0,0,0,0,0,0,64.74257075298814,35.257429247011856,48.94969941243227,89.22721334539241,99.36981964745937,1,5,3828.5714285714284,66.2943534611272,55.012163577674414,66.2943534611272,55.012163577674414,81.86684845181637,81.26020905333425,81.86684845181637,81.26020905333425,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723840.002,19.28,19.28,19.26,19.26,19.191252326602932,,,0,0,0,0,0,0,63.2406926333183,36.7593073666817,44.279849917130335,84.26460514727468,96.56790995027819,1,5,3828.5714285714284,66.66108331594468,56.67629496885588,66.66108331594468,56.67629496885588,80.1715843872712,80.71589672030272,80.1715843872712,80.71589672030272,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723840.003,19.26,19.26,19.240000000000002,19.240000000000002,19.19415198394972,,,0,0,0,0,0,0,60.15423006585409,39.84576993414591,39.469944183018164,79.55564031658244,88.91439206659109,1,4,3828.5714285714284,66.49141409949969,58.07845484466214,66.49141409949969,58.07845484466214,77.52802471289937,79.12196071660105,77.52802471289937,79.12196071660105,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723840.004,19.240000000000002,19.240000000000002,19.220000000000002,19.220000000000002,19.196468625443874,,,0,0,0,0,0,0,58.43529082543134,41.56470917456866,34.53635234561386,75.08135750813577,68.82572063259053,1,3,3828.5714285714284,65.82366003116812,59.18491272844871,65.82366003116812,59.18491272844871,74.07164023010428,76.59680047335266,74.07164023010428,76.59680047335266,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723840.005,19.22,19.22,19.2,19.2,19.198161478625185,,,0,0,0,0,0,0,56.65171060011218,43.34828939988782,29.497443860277713,70.82463939036559,49.114569453371914,1,3,3828.5714285714284,64.69339860037034,59.97183928158038,64.69339860037034,59.97183928158038,69.91854876866067,73.25767462100666,69.91854876866067,73.25767462100666,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723840.006,19.2,19.2,19.18,19.18,19.19867191505752,,,0,0,0,0,0,0,51.97335789697443,48.02664210302557,24.37335268067848,66.76999380037198,29.511206365411844,1,2,3828.5714285714284,63.13366604728263,60.42352881953785,63.13366604728263,60.42352881953785,65.16827989694734,69.21297725897699,65.16827989694734,69.21297725897699,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723960,19.18,19.18,19.16,19.16,19.19866996156381,,,0,0,0,0,0,0,51.96599362380447,48.03400637619553,5.3964920349844485,51.85943123279938,31.54573778507366,1,1,15837.5,61.175138880639956,60.530901685409574,61.175138880639956,60.530901685409574,59.906144673573806,64.5595609662754,59.906144673573806,64.5595609662754,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723960.001,19.16,19.16,19.14,19.14,19.19826896595731,,,0,0,0,0,0,0,51.95863143727421,48.04136856272579,-9.750742488252985,39.396294856846744,34.74411120352992,1,0,15837.5,58.846302429981975,60.290244648919916,58.846302429981975,60.290244648919916,54.20526686306318,59.382413914669286,54.20526686306318,59.382413914669286,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785724080,19.16,19.18,19.13,19.18,19.197869640723265,,,0,0,0,0,0,0,57.571204380780664,42.428795619219336,16.913288165058454,48.05108273181566,26.36291141760541,1,2,32150,57.70421960335057,59.920812499552866,57.70421960335057,59.920812499552866,50.3902287397684,54.886321327218845,50.3902287397684,54.886321327218845,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785724200,19.16,19.16,19.14,19.14,19.197515765505866,,,0,0,0,0,0,0,57.3726125246789,42.6273874753211,6.302308739080812,40.5538375035142,34.05684387277851,1,0,12008.333333333334,55.623305958213265,59.30688299364721,55.623305958213265,59.30688299364721,46.048767491229974,50.46754440922441,46.048767491229974,50.46754440922441,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
