time,open,high,low,close,买入形状,卖出形状,Q-买入形状,Q-卖出形状,多头突破形状,空头突破形状,多头反转形状,空头反转形状,快速 MA,慢速 MA,支撑,阻力,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1788141852,18.71,18.75,18.71,18.75,0,0,0,0,0,0,0,0,18.716342381030344,19.13957229919429,18.56,18.88,21.979810277258196,22.066438365013717,21.979810277258196,22.066438365013717,48.738465601654816,47.94001022815486,48.738465601654816,47.94001022815486,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788141900,18.76,18.8,18.76,18.8,0,0,0,0,0,0,0,0,18.729128614782404,19.13606080036317,18.56,18.88,22.607626026684812,22.14375088810959,22.607626026684812,22.14375088810959,51.60776043167059,49.77388532991273,51.60776043167059,49.77388532991273,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142011,18.82,18.830000000000002,18.790000000000003,18.790000000000003,0,0,0,0,0,0,0,0,18.742620381791664,19.132750079298194,18.56,18.88,23.12191647532822,22.283488829140822,23.12191647532822,22.283488829140822,54.797993789916866,52.285939559914794,54.797993789916866,52.285939559914794,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142260,18.78,18.81,18.77,18.77,0,0,0,0,0,0,0,0,18.75002273661742,19.129273295756256,18.56,18.88,23.462109254563014,22.451863175629708,23.462109254563014,22.451863175629708,56.493518486595306,54.38972902325505,56.493518486595306,54.38972902325505,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142389,18.76,18.8,18.76,18.8,0,0,0,0,0,0,0,0,18.756685269353646,19.125864274571285,18.56,18.830000000000002,23.984046505610713,22.670746508484136,23.984046505610713,22.670746508484136,58.11998554262293,56.254857282938985,58.11998554262293,56.254857282938985,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142491,18.81,18.81,18.77,18.77,0,0,0,0,0,0,0,0,18.761530371895407,19.122456006499267,18.56,18.830000000000002,24.262658568396755,22.89816251704308,24.262658568396755,22.89816251704308,59.60068024865506,57.927768765797026,59.60068024865506,57.927768765797026,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142542,18.76,18.8,18.76,18.76,0,0,0,0,0,0,0,0,18.763676364884123,19.11898214905483,18.56,18.830000000000002,24.45268845087392,23.120237650447486,24.45268845087392,23.120237650447486,60.09062636031924,59.00919756305814,60.09062636031924,59.00919756305814,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142716,18.75,18.76,18.720000000000002,18.720000000000002,0,0,0,0,0,0,0,0,18.758159450056706,19.11514484740586,18.56,18.830000000000002,24.35441949559173,23.296549342610952,24.35441949559173,23.296549342610952,59.03871869845555,59.02395813075684,59.03871869845555,59.02395813075684,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142746,18.71,18.71,18.67,18.67,0,0,0,0,0,0,0,0,18.744554701561547,19.110848215425037,18.56,18.830000000000002,23.91976315799453,23.385579887665752,23.91976315799453,23.385579887665752,56.05916148179309,57.54155980627496,56.05916148179309,57.54155980627496,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1788142767,18.650000000000002,18.69,18.650000000000002,18.69,0,0,0,0,0,0,0,0,18.73221142248975,19.10652800100953,18.56,18.830000000000002,23.653516339016907,23.423856523573058,23.653516339016907,23.423856523573058,52.98577477660203,55.263667291438495,52.98577477660203,55.263667291438495,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
