time,open,high,low,close,EMA 曲线,Cloud Candle,Cloud Reach,PlotCandle (开盘价),PlotCandle (最高价,PlotCandle (最低价),PlotCandle (关闭),Red %,Blue %,B,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭),rs,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1784514000,34.82687733458778,34.82687733458778,34.0109582,34.28017423,39.67771085918606,35.5701083486905,35.782417264117726,34.82687733458778,34.82687733458778,34.0109582,34.28017423,,,,18.36408617072345,20.14440343477216,18.36408617072345,20.14440343477216,23.4057413043964,24.51606232778856,23.4057413043964,24.51606232778856,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.12137713166615709,,,,,,,,
1784514600,34.55352578229389,34.55352578229389,33.62209061,33.87385745,39.619961074020026,35.461021254523835,35.69568454051479,34.55352578229389,34.55352578229389,33.62209061,33.87385745,,,,17.4976920068483,19.766301802211608,17.4976920068483,19.766301802211608,22.140404880204066,23.328233603996313,22.140404880204066,23.328233603996313,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.1984027280137673,,,,,,,,
1784515200,34.213691616146946,34.30011616,33.77165507,34.040871095,39.564447740895446,35.34754218797622,35.6195826240442,34.213691616146946,34.30011616,33.77165507,34.040871095,,,,16.99598653470156,19.370542478281603,16.99598653470156,19.370542478281603,20.967225082420534,22.147729343208425,20.967225082420534,22.147729343208425,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.2817437496510983,,,,,,,,
1784515800,34.12728135557347,34.45965158,34.07078399,34.290145195,39.51196711854823,35.2547172611905,35.55755736272067,34.12728135557347,34.45965158,34.07078399,34.290145195,,,,16.97543245137418,19.028383903009114,16.97543245137418,19.028383903009114,20.72941216031607,21.43857075176225,20.72941216031607,21.43857075176225,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.3028587595328919,-0.3028587595328919,,-0.3028587595328919,,,,,
1784516400,34.20871327528674,34.63912894,34.20871327528674,34.4596515825,39.46169532216964,35.18076594488099,35.50110411066185,34.20871327528674,34.63912894,34.20871327528674,34.4596515825,,,,17.259160908855563,18.775637760987177,17.259160908855563,18.775637760987177,21.176121966874174,21.30734635931821,21.176121966874174,21.30734635931821,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.2724209134358473,,,,,,,,
1784517000,34.33418242889337,34.6490999,34.24029038,34.407304025,39.411402871451536,35.11500506333336,35.445970545073614,34.33418242889337,34.6490999,34.24029038,34.407304025,,,,17.429106844628127,18.583276201507314,17.429106844628127,18.583276201507314,21.613964296662562,21.460655327990388,21.613964296662562,21.460655327990388,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.22950893426612523,,,,,,,,
1784517600,34.370743226946686,34.370743226946686,34.13060977,34.212870225,39.35967617845202,35.044377401666694,35.38819760661773,34.370743226946686,34.370743226946686,34.13060977,34.212870225,,,,17.239567860155976,18.39131786702855,17.239567860155976,18.39131786702855,21.336510462394756,21.398582895192572,21.336510462394756,21.398582895192572,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.21721785459248197,,,,,,,,
1784523600,34.291806725973345,34.44968062,33.93119049,34.1480589575,39.30781929068135,34.974818057619075,35.330351352205966,34.291806725973345,34.44968062,33.93119049,34.1480589575,,,,16.94778539814185,18.18509894290188,16.94778539814185,18.18509894290188,20.808583783940197,21.103583339566384,20.808583783940197,21.103583339566384,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.2251683261610653,,,,,,,,
1784524200,34.21993284173667,34.21993284173667,33.74174218,33.936175975000005,39.254370103460644,34.90502130964288,35.265833349853025,34.21993284173667,34.21993284173667,33.74174218,33.936175975000005,,,,16.298326553907316,17.91556003018837,16.298326553907316,17.91556003018837,19.54948180419029,20.32653257187834,19.54948180419029,20.32653257187834,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.2374412041663601,,,,,,,,
1784524800,34.07805440836834,34.07805440836834,33.66197446,33.7841187725,39.199939741958545,34.81896239416669,35.19735628823538,34.07805440836834,34.07805440836834,33.66197446,33.7841187725,,,,15.423615301402156,17.559567926076053,15.423615301402156,17.559567926076053,17.88160697012129,19.104069770999814,17.88160697012129,19.104069770999814,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.24187198977961855,,,,,,,,
