time,open,high,low,close,成交量中心线,通道上轨,通道下轨,多头订单块反应信号,空头订单块反应信号,多头趋势线 Pin Bar,空头趋势线 Pin Bar,多头趋势转换,空头趋势转换,需求强度 %,供给强度 %,成交量压力 %,趋势 Delta %,趋势力度 %,趋势状态,通道位置,合并成交量,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1785391680,36.050000000000004,36.050000000000004,36.00000000000001,36.00000000000001,36.05920793058475,,,0,0,0,0,0,0,45.3019784862889,54.6980215137111,-6.251196888963468,-4.901476371483217,23.560192346797223,-1,2,305088,46.67091191235396,52.16970221862731,46.67091191235396,52.16970221862731,44.139507296220394,43.61555734864541,44.139507296220394,43.61555734864541,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785391680.001,36,36,35.95,35.95,36.05215718489922,,,0,0,0,0,0,0,45.711620300271626,54.288379699728374,-17.61371190193486,-10.72362874215088,46.14934956639697,-1,1,305088,45.1229896329001,51.163028992094844,45.1229896329001,51.163028992094844,42.69100625390331,43.15328180127436,42.69100625390331,43.15328180127436,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785391920,35.95,36.04503486,35.900000000000006,35.900000000000006,36.04244821810509,,,0,0,0,0,0,0,39.90406088584155,60.09593911415845,-33.43021257890998,-19.50587821282066,71.76165447503838,-1,0,543697,43.09039513531202,50.00979558398301,43.09039513531202,50.00979558398301,40.56391884620281,41.858600323738585,40.56391884620281,41.858600323738585,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785392160,35.95,36,35.86555751,36,36.032287349172954,,,0,0,0,0,0,0,42.34644974937904,57.65355025062096,-9.698355950957371,-8.565221146725442,20.079823383458724,-1,2,556981,42.609912365906574,48.95266940997209,42.609912365906574,48.95266940997209,39.94721621738022,40.90290827055941,39.94721621738022,40.90290827055941,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785392280,36,36.05,36,36.05,36.02404749362148,,,0,0,0,0,0,0,44.32473954824035,55.67526045175965,-3.4119175867995892,-5.562414960536734,6.363684268835076,-1,3,173063,43.13777576834171,48.12197031831061,43.13777576834171,48.12197031831061,42.45475675775414,41.678832514156774,42.45475675775414,41.678832514156774,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785392280.001,36.050000000000004,36.1,36.050000000000004,36.1,36.01772630900705,,,0,0,0,0,0,0,46.26236925510672,53.73763074489328,2.7203251629805334,-2.72124728687469,13.288418117530174,-1,4,173063,44.34222035631732,47.58200603802585,44.34222035631732,47.58200603802585,46.38979150664666,44.03431201040172,46.38979150664666,44.03431201040172,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785392400,36.1,36.15,36.1,36.15,36.01399036994302,,,0,0,0,0,0,0,49.20522294803774,50.79477705196226,13.287251867194733,2.1965005338420944,23.94213299336784,-1,4,323317,46.17491890229464,47.38099359006425,46.17491890229464,47.38099359006425,51.548392719982786,47.79135236519225,51.548392719982786,47.79135236519225,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785392400.001,36.15,36.199999999999996,36.15,36.199999999999996,36.012806706527044,,,0,0,0,0,0,0,51.975990462428236,48.024009537571764,22.542398706605084,6.664889948639329,28.762186596573322,-1,5,323317,48.590996123559265,47.55385109484926,48.590996123559265,47.55385109484926,57.7557651885568,52.77355877687452,57.7557651885568,52.77355877687452,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785392520,36.15,36.24445414,36.1,36.1,36.01247319903098,,,0,0,0,0,0,0,46.986700708550245,53.013299291449755,1.5383011243889337,-1.2816080518201414,13.217216983867301,-1,4,569652,49.40592497187648,47.81843307728172,49.40592497187648,47.81843307728172,60.39762343776556,56.58559110732004,60.39762343776556,56.58559110732004,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785392760,36.1,36.1,36.050000000000004,36.050000000000004,36.01233972946707,,,0,0,0,0,0,0,46.29859451656876,53.70140548343124,-7.977403851202702,-5.156829321723369,9.271078620193059,-1,3,312425,49.44835890245678,48.0512796237353,49.44835890245678,48.0512796237353,60.447773627750614,58.516682367535324,60.447773627750614,58.516682367535324,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
