time,open,high,low,close,,,,,,,,,,,,,,,,,,,,,Red %,Blue %,B,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭),rs,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,多头突破,空头突破,空头陷阱,中轴线,超买 1,超买 2（早期）,超卖 1,超卖 2,WT1 — 快线信号,WT2 — 慢线确认,WT 差值（动量）,交叉外圈,交叉内圈,Candle Color (开盘价),Candle Color (最高价,Candle Color (最低价),Candle Color (关闭),Oscillator,Signal Line,Reversal Down,Reversal Down,Reversal Up,Reversal Up
1784602440.002,34.4,34.449999999999996,34.4,34.449999999999996,0,0,0,0,0,0,34.3,34.1,,,,,34.425,,,,,,,,,,,84.0065798532246,75.81264553389407,84.0065798532246,75.81264553389407,91.70721591033265,90.40315201408599,91.70721591033265,90.40315201408599,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.009469222103969882,,,,,,,,,0,0,0,0,52,48,-52,-48,63.96480954012219,59.9668120924232,3.9979974476989923,,,34.4,34.449999999999996,34.4,34.449999999999996,0.00028191366362791375,0.0002486634940527838,,,,
1784602440.003,34.45,34.5,34.45,34.5,0,0,0,0,0,0,34.3,34.1,,,,,34.475,,,,,,,,,,,85.1489670065657,77.14640574427574,85.1489670065657,77.14640574427574,92.68025914007346,91.54170557707972,92.68025914007346,91.54170557707972,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.022782438800714865,,,,,,,,,0,0,0,0,52,48,-52,-48,65.76846679582331,62.566245113289405,3.20222168253391,,,34.45,34.5,34.45,34.5,0.00029777448213298187,0.0002618798614909363,,,,
1784602440.004,34.5,34.55,34.5,34.55,0,0,0,0,0,0,34.3,34.1,,,,,34.525,,,,,,,,,,,86.20975507752529,78.44116993473996,86.20975507752529,78.44116993473996,93.52185477312416,92.53178017510194,93.52185477312416,92.53178017510194,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.036142608154187926,,,,,,,,,0,0,0,0,52,48,-52,-48,67.04402203761063,64.62154213002236,2.4224799075882686,,,34.5,34.55,34.5,34.55,0.0003146207801714171,0.000276044806504736,,,,
1784602440.005,34.550000000000004,34.6,34.550000000000004,34.6,0,0,0,0,0,0,34.3,34.1,,,,,34.575,,,,,,,,,,,87.19477257198777,79.69168459720393,87.19477257198777,79.69168459720393,94.25025975627395,93.39101996568795,94.25025975627395,93.39101996568795,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.04989864279695988,,,,,,,,,0,0,0,0,52,48,-52,-48,67.90409124278463,66.1703474040852,1.733743838699425,,,34.550000000000004,34.6,34.550000000000004,34.6,0.00033217826340359015,0.00029118129625317033,,,,
1784602440.006,34.6,34.65,34.6,34.65,0,0,0,0,0,0,34.3,34.1,,,,,34.625,,,,,,,,,,,88.10943167398864,80.89421989388747,88.10943167398864,80.89421989388747,94.88117502918716,94.13609749743756,94.88117502918716,94.13609749743756,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.0637438089865952,,,,,,,,,0,0,0,0,52,48,-52,-48,68.44766594799795,67.29106150605415,1.1566044419437986,,,34.6,34.65,34.6,34.65,0.0003502938993269307,0.00030732007035943034,,,,
1784602440.007,34.65,34.699999999999996,34.65,34.699999999999996,0,0,0,0,0,0,34.3,34.1,,,,,34.675,,,,,,,,,,,88.95875798298945,82.04629676375919,88.95875798298945,82.04629676375919,95.42195954882713,94.77902852313235,95.42195954882713,94.77902852313235,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.07715491697924015,,,,,0.07715491697924015,,0.07715491697924015,,0,0,0,0,52,48,-52,-48,68.75645592918096,68.03805878939356,0.7183971397873989,,,34.65,34.699999999999996,34.65,34.699999999999996,0.0003697926210826086,0.0003244289516242404,,,,
1784602440.008,34.7,34.75,34.7,34.75,0,0,0,0,0,0,34.3,34.1,,,,,34.725,,,,,,,,,,,89.74741812706164,83.14645695851668,89.74741812706164,83.14645695851668,95.88548913708989,95.33225883011113,95.88548913708989,95.33225883011113,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.06812202599742903,,,,,,,,,0,0,0,0,52,48,-52,-48,68.89548859699084,68.5009254292386,0.39456316775223854,,,34.7,34.75,34.7,34.75,0.00039034848106461734,0.0003425014211970243,,,,
1784602920,34.75,34.8,34.67901279,34.8,0,0,0,0,0,0,34.3,34.1,,,,,34.775,,,,,,,,,,,90.4797454037001,84.19406959354288,90.4797454037001,84.19406959354288,96.14758647941038,95.73992265476076,96.14758647941038,95.73992265476076,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.04991396838248652,,,,,,,,,0,0,0,0,52,48,-52,-48,68.2759486980726,68.59388979306061,-0.31794109498801504,68.59388979306061,68.59388979306061,34.75,34.8,34.67901279,34.8,0.00041197243992933616,0.00036153441416308333,,,,
1784602920.001,34.800000000000004,34.85,34.800000000000004,34.85,0,0,0,0,0,0,34.3,34.1,,,,,34.825,,,,,,,,,,,91.15976358915009,85.18916873577248,91.15976358915009,85.18916873577248,96.50745507758988,96.12368886617531,96.50745507758988,96.12368886617531,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.049310535736716746,0.049310535736716746,,0.049310535736716746,,,,,,0,0,0,0,52,48,-52,-48,68.91990317744646,68.71194910042273,0.2079540770237287,68.71194910042273,68.71194910042273,34.800000000000004,34.85,34.800000000000004,34.85,0.00043055149348315613,0.0003808561997150398,,,,
1784602920.002,34.85,34.9,34.85,34.9,0,0,0,0,0,0,34.3,34.1,,,,,34.875,,,,,,,,,,,91.79120904706794,86.13231735167184,91.79120904706794,86.13231735167184,96.8159138760294,96.46980137110236,96.8159138760294,96.46980137110236,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.05970694463729168,,,,,,,,,0,0,0,0,52,48,-52,-48,69.10636010140304,68.79942514347826,0.3069349579247813,,,34.85,34.9,34.85,34.9,0.0004467272710587391,0.00039994770099089803,,,,
